scenario_id,scenario,architecture,scenario_time_ns,total_toggles,tracked_bits,alpha,toggles_per_ns,est_power_w,est_power_mw
0,S0_fault_free,baseline,100560.000,325196,76,0.425506637,3.233850,3.233850437550e-05,0.032338504
0,S0_fault_free,dmr,100560.000,662271,160,0.411614335,6.585829,6.585829355609e-05,0.065858294
0,S0_fault_free,tmr,100560.000,958266,233,0.408982658,9.529296,9.529295942721e-05,0.095292959
0,S0_fault_free,adaptive,100560.000,2342013,706,0.329882544,23.289708,2.328970763723e-04,0.232897076
1,S1_flip_all_alu0,baseline,9490.000,31080,76,0.430924519,3.275026,3.275026343519e-05,0.032750263
1,S1_flip_all_alu0,dmr,9490.000,64053,160,0.421845364,6.749526,6.749525816649e-05,0.067495258
1,S1_flip_all_alu0,tmr,9490.000,91522,233,0.413907569,9.644046,9.644046364594e-05,0.096440464
1,S1_flip_all_alu0,adaptive,9490.000,223998,706,0.334328367,23.603583,2.360358271865e-04,0.236035827
2,S2_flip_all_alu1,baseline,0.000,0,76,0.000000000,0.000000,0.000000000000e+00,0.000000000
2,S2_flip_all_alu1,dmr,0.000,0,160,0.000000000,0.000000,0.000000000000e+00,0.000000000
2,S2_flip_all_alu1,tmr,0.000,0,233,0.000000000,0.000000,0.000000000000e+00,0.000000000
2,S2_flip_all_alu1,adaptive,0.000,0,706,0.000000000,0.000000,0.000000000000e+00,0.000000000
3,S3_flip_all_alu2,baseline,0.000,0,76,0.000000000,0.000000,0.000000000000e+00,0.000000000
3,S3_flip_all_alu2,dmr,0.000,0,160,0.000000000,0.000000,0.000000000000e+00,0.000000000
3,S3_flip_all_alu2,tmr,0.000,0,233,0.000000000,0.000000,0.000000000000e+00,0.000000000
3,S3_flip_all_alu2,adaptive,0.000,0,706,0.000000000,0.000000,0.000000000000e+00,0.000000000
4,S4_sa0_all_alu0,baseline,0.000,0,76,0.000000000,0.000000,0.000000000000e+00,0.000000000
4,S4_sa0_all_alu0,dmr,0.000,0,160,0.000000000,0.000000,0.000000000000e+00,0.000000000
4,S4_sa0_all_alu0,tmr,0.000,0,233,0.000000000,0.000000,0.000000000000e+00,0.000000000
4,S4_sa0_all_alu0,adaptive,0.000,0,706,0.000000000,0.000000,0.000000000000e+00,0.000000000
5,S5_sa1_all_alu0,baseline,0.000,0,76,0.000000000,0.000000,0.000000000000e+00,0.000000000
5,S5_sa1_all_alu0,dmr,0.000,0,160,0.000000000,0.000000,0.000000000000e+00,0.000000000
5,S5_sa1_all_alu0,tmr,0.000,0,233,0.000000000,0.000000,0.000000000000e+00,0.000000000
5,S5_sa1_all_alu0,adaptive,0.000,0,706,0.000000000,0.000000,0.000000000000e+00,0.000000000
6,S6_flip_lsb_alu0,baseline,0.000,0,76,0.000000000,0.000000,0.000000000000e+00,0.000000000
6,S6_flip_lsb_alu0,dmr,0.000,0,160,0.000000000,0.000000,0.000000000000e+00,0.000000000
6,S6_flip_lsb_alu0,tmr,0.000,0,233,0.000000000,0.000000,0.000000000000e+00,0.000000000
6,S6_flip_lsb_alu0,adaptive,0.000,0,706,0.000000000,0.000000,0.000000000000e+00,0.000000000
7,S7_flip_nibble_alu0,baseline,0.000,0,76,0.000000000,0.000000,0.000000000000e+00,0.000000000
7,S7_flip_nibble_alu0,dmr,0.000,0,160,0.000000000,0.000000,0.000000000000e+00,0.000000000
7,S7_flip_nibble_alu0,tmr,0.000,0,233,0.000000000,0.000000,0.000000000000e+00,0.000000000
7,S7_flip_nibble_alu0,adaptive,0.000,0,706,0.000000000,0.000000,0.000000000000e+00,0.000000000
8,S8_double_alu0_alu1,baseline,0.000,0,76,0.000000000,0.000000,0.000000000000e+00,0.000000000
8,S8_double_alu0_alu1,dmr,0.000,0,160,0.000000000,0.000000,0.000000000000e+00,0.000000000
8,S8_double_alu0_alu1,tmr,0.000,0,233,0.000000000,0.000000,0.000000000000e+00,0.000000000
8,S8_double_alu0_alu1,adaptive,0.000,0,706,0.000000000,0.000000,0.000000000000e+00,0.000000000
9,S9_double_alu1_alu2,baseline,0.000,0,76,0.000000000,0.000000,0.000000000000e+00,0.000000000
9,S9_double_alu1_alu2,dmr,0.000,0,160,0.000000000,0.000000,0.000000000000e+00,0.000000000
9,S9_double_alu1_alu2,tmr,0.000,0,233,0.000000000,0.000000,0.000000000000e+00,0.000000000
9,S9_double_alu1_alu2,adaptive,0.000,0,706,0.000000000,0.000000,0.000000000000e+00,0.000000000
10,S10_triple_fault,baseline,0.000,0,76,0.000000000,0.000000,0.000000000000e+00,0.000000000
10,S10_triple_fault,dmr,0.000,0,160,0.000000000,0.000000,0.000000000000e+00,0.000000000
10,S10_triple_fault,tmr,0.000,0,233,0.000000000,0.000000,0.000000000000e+00,0.000000000
10,S10_triple_fault,adaptive,0.000,0,706,0.000000000,0.000000,0.000000000000e+00,0.000000000
11,S11_random_faults,baseline,0.000,0,76,0.000000000,0.000000,0.000000000000e+00,0.000000000
11,S11_random_faults,dmr,0.000,0,160,0.000000000,0.000000,0.000000000000e+00,0.000000000
11,S11_random_faults,tmr,0.000,0,233,0.000000000,0.000000,0.000000000000e+00,0.000000000
11,S11_random_faults,adaptive,0.000,0,706,0.000000000,0.000000,0.000000000000e+00,0.000000000
12,S12_burst_fault_recovery,baseline,0.000,0,76,0.000000000,0.000000,0.000000000000e+00,0.000000000
12,S12_burst_fault_recovery,dmr,0.000,0,160,0.000000000,0.000000,0.000000000000e+00,0.000000000
12,S12_burst_fault_recovery,tmr,0.000,0,233,0.000000000,0.000000,0.000000000000e+00,0.000000000
12,S12_burst_fault_recovery,adaptive,0.000,0,706,0.000000000,0.000000,0.000000000000e+00,0.000000000
